Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
"Okeechobee County, Florida",12,093,39059.0,41.0,39.9,42.8,597.0,8724.0,1976.0,2899.0,1935.0,2200.0,169.0,52.0
"Orange County, Florida",12,095,51586.0,34.7,33.8,35.6,12718.0,183891.0,30247.0,119260.0,93352.0,187206.0,17582.0,8420.0
"Alachua County, Florida",12,001,45478.0,31.2,30.3,32.1,2066.0,28865.0,5735.0,20221.0,16046.0,32960.0,6608.0,7422.0
"District of Columbia, District of Columbia",11,001,77649.0,33.9,33.8,34.1,5141.0,71712.0,12407.0,45479.0,14601.0,113830.0,39862.0,20333.0
"Pasco County, Florida",12,101,48289.0,44.5,43.5,45.6,3596.0,100802.0,18458.0,52710.0,39289.0,54229.0,4012.0,2434.0
"Gilchrist County, Florida",12,041,42934.0,42.8,37.9,46.5,116.0,3834.0,797.0,1688.0,1332.0,985.0,76.0,39.0
"Highlands County, Florida",12,055,36374.0,53.1,51.6,54.5,1162.0,23879.0,4106.0,10476.0,6370.0,8281.0,754.0,554.0
"Suwannee County, Florida",12,121,40600.0,41.7,40.9,43.3,246.0,10261.0,1887.0,3529.0,2069.0,2955.0,94.0,159.0
"DeSoto County, Florida",12,027,35435.0,40.7,39.1,43.4,868.0,8486.0,1687.0,2047.0,1135.0,2002.0,135.0,53.0
"Calhoun County, Florida",12,013,36237.0,40.3,38.5,43.8,124.0,3079.0,1075.0,1449.0,643.0,755.0,21.0,17.0
"Charlotte County, Florida",12,015,46511.0,58.1,57.0,59.0,1259.0,41666.0,6859.0,22198.0,12844.0,19864.0,1975.0,1011.0
"Columbia County, Florida",12,023,43504.0,40.7,38.8,42.8,482.0,13363.0,3687.0,7553.0,4771.0,5077.0,495.0,229.0
"Dixie County, Florida",12,029,35910.0,47.6,45.6,49.7,111.0,3819.0,1585.0,1672.0,811.0,782.0,91.0,52.0
"Martin County, Florida",12,085,55588.0,51.6,49.7,53.3,1176.0,25965.0,5125.0,18066.0,11993.0,23988.0,3183.0,1712.0
"Putnam County, Florida",12,107,33619.0,44.8,43.6,46.1,1011.0,16348.0,4217.0,7124.0,3546.0,4042.0,415.0,292.0
"Sarasota County, Florida",12,115,55236.0,55.1,53.4,56.4,2786.0,83536.0,11362.0,44091.0,27087.0,64876.0,8665.0,5406.0
"Union County, Florida",12,125,37460.0,39.8,41.6,37.4,54.0,3030.0,1227.0,1704.0,858.0,723.0,26.0,16.0
"Clay County, Georgia",13,061,23315.0,44.6,42.4,46.6,29.0,877.0,45.0,374.0,138.0,61.0,11.0,8.0
"Echols County, Georgia",13,101,34315.0,38.1,38.7,37.7,104.0,801.0,116.0,374.0,200.0,127.0,10.0,11.0
"Glynn County, Georgia",13,127,47546.0,40.8,39.5,42.6,462.0,13374.0,2611.0,9657.0,4468.0,10305.0,1248.0,600.0
"DeKalb County, Georgia",13,089,55876.0,35.5,34.3,36.7,8725.0,91024.0,13862.0,73992.0,32091.0,121254.0,16253.0,12580.0
"Haralson County, Georgia",13,143,43663.0,40.7,39.5,41.1,302.0,5638.0,1532.0,3007.0,1072.0,1533.0,352.0,149.0
"Lincoln County, Georgia",13,181,37711.0,47.9,48.0,47.8,165.0,2178.0,319.0,800.0,421.0,449.0,29.0,24.0
"Jackson County, Georgia",13,157,57999.0,38.7,38.1,39.4,648.0,11143.0,3031.0,5912.0,3997.0,5506.0,657.0,325.0
"Jefferson County, Georgia",13,163,29640.0,38.6,36.3,41.5,181.0,3795.0,643.0,1351.0,700.0,805.0,30.0,4.0
"Jones County, Georgia",13,169,55110.0,39.7,38.2,40.9,104.0,6194.0,1283.0,3038.0,1503.0,2393.0,292.0,100.0
"Murray County, Georgia",13,213,41617.0,37.6,36.9,38.3,716.0,6728.0,2922.0,2953.0,1075.0,1448.0,256.0,153.0
"Muscogee County, Georgia",13,215,43239.0,33.7,32.1,35.8,1824.0,28494.0,6962.0,23340.0,11024.0,20489.0,2562.0,1447.0
"Pulaski County, Georgia",13,235,38750.0,43.1,43.4,43.0,85.0,2686.0,707.0,1236.0,577.0,570.0,67.0,56.0
"Rabun County, Georgia",13,241,39297.0,48.8,47.3,49.8,81.0,3386.0,722.0,1588.0,761.0,1741.0,269.0,264.0
"Stewart County, Georgia",13,259,22413.0,37.0,33.8,45.3,145.0,1459.0,194.0,308.0,155.0,416.0,20.0,0.0
"Towns County, Georgia",13,281,41182.0,53.3,51.2,54.8,163.0,2045.0,427.0,1443.0,728.0,1232.0,176.0,133.0
"Treutlen County, Georgia",13,283,39375.0,40.8,40.8,41.0,100.0,1406.0,297.0,643.0,283.0,455.0,33.0,39.0
"Turner County, Georgia",13,287,42622.0,40.2,39.6,42.3,67.0,1795.0,299.0,653.0,433.0,473.0,119.0,25.0
"Irwin County, Georgia",13,155,34677.0,39.7,36.3,41.8,99.0,2309.0,281.0,626.0,773.0,410.0,153.0,59.0
"Atkinson County, Georgia",13,003,33063.0,34.9,34.7,36.1,238.0,1772.0,331.0,550.0,371.0,252.0,23.0,24.0
"Appling County, Georgia",13,001,37089.0,39.3,38.3,40.9,251.0,4306.0,655.0,1653.0,692.0,819.0,122.0,59.0
"Bacon County, Georgia",13,005,38824.0,37.6,36.3,39.1,130.0,2487.0,595.0,1045.0,627.0,535.0,70.0,0.0
"Brantley County, Georgia",13,025,36812.0,40.3,38.6,41.1,133.0,4868.0,1114.0,1345.0,881.0,543.0,98.0,56.0
"Whitfield County, Georgia",13,313,43871.0,35.4,34.1,36.9,1858.0,14926.0,4236.0,9639.0,3149.0,6158.0,1033.0,244.0
"Calhoun County, Georgia",13,037,29617.0,38.4,37.0,41.8,45.0,1360.0,590.0,775.0,216.0,290.0,23.0,15.0
"Macon County, Georgia",13,193,30851.0,40.6,38.5,44.1,116.0,2461.0,801.0,1827.0,532.0,504.0,22.0,93.0
"Troup County, Georgia",13,285,43597.0,36.2,34.5,37.9,580.0,12264.0,3649.0,7077.0,3073.0,5136.0,570.0,368.0
"Bibb County, Georgia",13,021,38183.0,36.0,34.5,37.5,1458.0,27529.0,4575.0,16058.0,6308.0,14848.0,2289.0,1471.0
"Harris County, Georgia",13,145,69539.0,43.2,41.8,44.6,176.0,4786.0,862.0,4469.0,2410.0,3813.0,551.0,244.0
"Marion County, Georgia",13,197,39015.0,43.3,41.8,43.9,132.0,1743.0,515.0,1010.0,318.0,426.0,68.0,23.0
"Schley County, Georgia",13,249,41267.0,36.9,35.8,38.0,18.0,955.0,199.0,628.0,277.0,271.0,18.0,24.0
"Worth County, Georgia",13,321,40369.0,42.1,40.7,43.1,171.0,4358.0,1175.0,1855.0,1288.0,954.0,68.0,64.0
"Bleckley County, Georgia",13,023,40688.0,37.4,37.8,36.7,92.0,2878.0,519.0,1026.0,532.0,748.0,102.0,122.0
"Dooly County, Georgia",13,093,33389.0,43.5,41.8,46.0,189.0,3150.0,738.0,1384.0,631.0,675.0,66.0,29.0
"Evans County, Georgia",13,109,38736.0,37.3,35.9,38.2,106.0,2355.0,459.0,768.0,407.0,714.0,63.0,68.0
"Franklin County, Georgia",13,119,39246.0,41.1,39.4,42.6,282.0,4777.0,1192.0,1798.0,1182.0,1243.0,193.0,80.0
"Webster County, Georgia",13,307,36658.0,43.5,42.9,47.3,62.0,784.0,101.0,157.0,122.0,116.0,5.0,4.0
"Effingham County, Georgia",13,103,64279.0,36.2,35.0,37.2,295.0,11334.0,2465.0,5720.0,2883.0,4802.0,487.0,61.0
"Lamar County, Georgia",13,171,41157.0,38.1,38.4,36.9,185.0,3327.0,1069.0,1707.0,920.0,1499.0,104.0,135.0
"Glascock County, Georgia",13,125,45273.0,42.9,39.8,43.8,57.0,718.0,158.0,315.0,111.0,148.0,0.0,9.0
"Emanuel County, Georgia",13,107,33089.0,37.2,35.4,39.4,294.0,5173.0,1222.0,1872.0,1010.0,1001.0,240.0,120.0
"Quitman County, Georgia",13,239,26750.0,52.6,48.3,57.9,13.0,508.0,132.0,259.0,47.0,87.0,14.0,0.0
"Chatham County, Georgia",13,051,52215.0,34.9,33.4,36.4,1549.0,37984.0,7728.0,35187.0,13622.0,38595.0,4190.0,3143.0
"Liberty County, Georgia",13,179,43493.0,27.9,26.8,29.1,270.0,9088.0,2011.0,7685.0,3421.0,4787.0,294.0,209.0
"Jasper County, Georgia",13,159,42067.0,42.2,42.2,42.2,302.0,2879.0,706.0,1103.0,666.0,539.0,67.0,47.0
"Johnson County, Georgia",13,167,36423.0,41.6,40.3,44.3,10.0,2450.0,559.0,814.0,406.0,418.0,7.0,97.0
"Lanier County, Georgia",13,173,31109.0,33.8,34.8,33.1,65.0,1748.0,524.0,1122.0,693.0,724.0,74.0,12.0
"Madison County, Georgia",13,195,47653.0,41.0,40.2,42.3,316.0,6123.0,1294.0,2590.0,1587.0,1827.0,287.0,151.0
"Mitchell County, Georgia",13,205,34122.0,38.8,35.8,41.7,147.0,4335.0,1553.0,1817.0,1047.0,1270.0,44.0,59.0
"Seminole County, Georgia",13,253,33999.0,44.0,44.6,43.1,92.0,1864.0,566.0,856.0,364.0,554.0,62.0,39.0
"Tift County, Georgia",13,277,38728.0,35.5,34.1,38.0,477.0,7439.0,1490.0,3226.0,3036.0,2154.0,322.0,442.0
"Twiggs County, Georgia",13,289,30629.0,46.3,44.9,47.7,244.0,2007.0,287.0,616.0,319.0,350.0,49.0,16.0
"Polk County, Georgia",13,233,40652.0,37.1,36.5,37.9,588.0,8408.0,1991.0,3840.0,1603.0,2045.0,313.0,143.0
"Talbot County, Georgia",13,263,37226.0,49.9,47.7,50.6,116.0,1775.0,279.0,513.0,353.0,393.0,20.0,44.0
"Taylor County, Georgia",13,269,29875.0,43.8,39.6,45.5,171.0,1653.0,415.0,1033.0,369.0,419.0,30.0,10.0
"Terrell County, Georgia",13,273,32219.0,40.7,38.9,42.0,143.0,1637.0,267.0,1083.0,573.0,351.0,73.0,53.0
"Thomas County, Georgia",13,275,41336.0,39.6,37.6,41.5,328.0,7812.0,1698.0,4198.0,2537.0,3643.0,442.0,570.0
"Toombs County, Georgia",13,279,35750.0,36.1,35.7,36.3,291.0,5305.0,1493.0,2534.0,1116.0,1709.0,142.0,117.0
"Wilkinson County, Georgia",13,319,38711.0,42.5,41.6,43.3,70.0,2745.0,514.0,686.0,333.0,345.0,18.0,12.0
"Ben Hill County, Georgia",13,017,32344.0,39.0,38.4,39.5,222.0,4430.0,529.0,1487.0,950.0,709.0,84.0,41.0
"Burke County, Georgia",13,033,38707.0,37.4,35.3,39.3,158.0,4680.0,750.0,2521.0,1341.0,1046.0,174.0,55.0
"Catoosa County, Georgia",13,047,54537.0,39.6,38.0,41.3,368.0,11464.0,3023.0,7628.0,4653.0,6169.0,679.0,210.0
"Chattahoochee County, Georgia",13,053,46096.0,23.7,23.5,25.4,22.0,1079.0,224.0,872.0,393.0,1224.0,54.0,50.0
"Chattooga County, Georgia",13,055,35718.0,40.3,38.0,42.4,218.0,4739.0,1941.0,2216.0,1135.0,1015.0,115.0,36.0
"Columbia County, Georgia",13,073,74162.0,36.4,35.6,37.4,1063.0,19049.0,4312.0,15259.0,10530.0,20098.0,2578.0,1795.0
"Decatur County, Georgia",13,087,36934.0,37.9,36.1,41.0,401.0,4974.0,1419.0,3137.0,1305.0,1447.0,200.0,204.0
"Floyd County, Georgia",13,115,46096.0,38.3,36.8,39.5,983.0,15597.0,4724.0,9905.0,4411.0,7793.0,1407.0,531.0
"Forsyth County, Georgia",13,117,96445.0,38.2,37.7,38.6,1488.0,19504.0,3458.0,17503.0,9683.0,45515.0,2612.0,1680.0
"Habersham County, Georgia",13,137,44474.0,39.5,37.6,40.8,802.0,7338.0,2646.0,3573.0,1929.0,2982.0,496.0,284.0
"Hart County, Georgia",13,147,41216.0,43.0,42.2,44.4,226.0,5754.0,1328.0,2576.0,1418.0,1502.0,304.0,118.0
"Lowndes County, Georgia",13,185,39911.0,30.1,29.1,31.3,994.0,16299.0,3211.0,10354.0,5818.0,9903.0,1187.0,901.0
"McIntosh County, Georgia",13,191,43285.0,49.2,49.3,48.9,194.0,2769.0,1038.0,1681.0,1091.0,877.0,45.0,88.0
"Meriwether County, Georgia",13,199,36368.0,42.0,40.2,44.4,186.0,4544.0,1236.0,2306.0,770.0,943.0,111.0,48.0
"Monroe County, Georgia",13,207,50666.0,43.3,41.7,44.9,148.0,5623.0,1153.0,2696.0,1233.0,2322.0,384.0,272.0
"Putnam County, Georgia",13,237,48340.0,45.6,45.2,46.1,128.0,5135.0,644.0,2076.0,1282.0,2284.0,246.0,49.0
"Sumter County, Georgia",13,261,34219.0,35.2,33.5,36.9,523.0,5411.0,1062.0,2766.0,1606.0,1683.0,393.0,233.0
"Taliaferro County, Georgia",13,265,30500.0,43.3,41.2,48.7,56.0,536.0,110.0,83.0,60.0,75.0,4.0,5.0
"Warren County, Georgia",13,301,32860.0,44.2,40.6,45.6,85.0,1538.0,200.0,366.0,218.0,336.0,53.0,4.0
"Baker County, Georgia",13,007,43867.0,43.6,39.7,45.9,20.0,715.0,146.0,344.0,229.0,138.0,12.0,3.0
"Bryan County, Georgia",13,029,68589.0,34.8,33.6,36.2,201.0,4930.0,914.0,3634.0,2087.0,4517.0,267.0,265.0
"Butts County, Georgia",13,035,39655.0,38.4,36.0,41.6,97.0,5877.0,1177.0,2000.0,895.0,1169.0,193.0,71.0
"Candler County, Georgia",13,043,33125.0,37.9,37.2,39.6,94.0,2025.0,520.0,956.0,485.0,681.0,121.0,73.0
"Camden County, Georgia",13,039,53687.0,31.6,30.0,35.1,279.0,8172.0,1936.0,6146.0,3006.0,4836.0,390.0,284.0
"Carroll County, Georgia",13,045,46844.0,34.4,33.3,35.7,1138.0,19267.0,5512.0,11616.0,3887.0,8691.0,1062.0,829.0
"Crawford County, Georgia",13,079,41032.0,44.2,43.6,45.0,55.0,2541.0,705.0,1732.0,532.0,652.0,109.0,44.0
"Early County, Georgia",13,099,29493.0,40.5,39.7,41.5,94.0,2125.0,402.0,1127.0,511.0,699.0,43.0,13.0
"Crisp County, Georgia",13,081,33194.0,38.3,36.2,40.2,286.0,5096.0,1038.0,2207.0,845.0,1286.0,175.0,116.0
"Coffee County, Georgia",13,069,36572.0,35.9,34.7,36.9,384.0,8278.0,2340.0,3656.0,2279.0,2373.0,347.0,154.0
"Coweta County, Georgia",13,077,67570.0,37.9,37.3,38.8,912.0,23437.0,3946.0,14803.0,6356.0,18032.0,1306.0,765.0
"Cobb County, Georgia",13,067,72004.0,36.4,35.2,37.5,4585.0,80662.0,12260.0,73149.0,34808.0,145159.0,12924.0,7583.0
"Gilmer County, Georgia",13,123,46211.0,46.0,45.2,47.0,192.0,5954.0,1607.0,2940.0,1655.0,2494.0,346.0,139.0
"Dade County, Georgia",13,083,43163.0,41.8,40.0,42.9,165.0,3127.0,679.0,1756.0,1060.0,1013.0,56.0,68.0
"Walton County, Georgia",13,297,55876.0,38.9,37.2,40.0,420.0,18459.0,3787.0,8603.0,4696.0,7718.0,798.0,263.0
"Wilkes County, Georgia",13,317,34234.0,45.5,41.9,48.1,248.0,2489.0,411.0,831.0,395.0,541.0,109.0,135.0
"Brooks County, Georgia",13,027,34890.0,43.2,40.6,45.6,219.0,3676.0,485.0,1693.0,825.0,1056.0,76.0,17.0
"Dodge County, Georgia",13,091,35290.0,41.2,38.4,43.6,119.0,4540.0,1706.0,2038.0,1085.0,1261.0,237.0,66.0
"Gordon County, Georgia",13,129,43452.0,37.0,36.0,38.3,904.0,10111.0,2908.0,5354.0,2553.0,3033.0,399.0,223.0
"Elbert County, Georgia",13,105,35207.0,42.3,40.6,44.4,132.0,5067.0,1015.0,1591.0,791.0,856.0,137.0,29.0
"Cherokee County, Georgia",13,057,75477.0,38.0,37.3,38.7,1322.0,30179.0,7287.0,26638.0,11731.0,38336.0,2999.0,1716.0
"Fayette County, Georgia",13,113,84861.0,43.5,42.1,44.5,326.0,13080.0,2065.0,10509.0,5859.0,21811.0,2423.0,1244.0
"Jenkins County, Georgia",13,165,27197.0,40.6,36.4,44.5,64.0,2134.0,344.0,871.0,420.0,294.0,29.0,0.0
"Lee County, Georgia",13,177,65018.0,36.9,36.4,37.4,79.0,4299.0,1239.0,2764.0,2272.0,2881.0,281.0,154.0
"Newton County, Georgia",13,217,52784.0,36.2,33.8,37.8,878.0,17704.0,4112.0,12344.0,5051.0,8455.0,766.0,611.0
"Pickens County, Georgia",13,227,61542.0,44.9,44.2,46.1,329.0,4955.0,1407.0,3656.0,1654.0,3479.0,311.0,110.0
"Greene County, Georgia",13,133,45069.0,48.9,47.8,50.1,225.0,3270.0,796.0,1573.0,659.0,1733.0,472.0,134.0
"Colquitt County, Georgia",13,071,34503.0,36.0,34.6,37.5,818.0,8965.0,2339.0,3138.0,1835.0,2089.0,382.0,78.0
"Cook County, Georgia",13,075,35539.0,37.0,36.2,37.7,288.0,3553.0,637.0,1518.0,1020.0,1048.0,151.0,48.0
"Dawson County, Georgia",13,085,62284.0,43.3,42.0,44.1,295.0,3665.0,1099.0,2540.0,1051.0,3226.0,290.0,139.0
"Hancock County, Georgia",13,141,29268.0,44.3,35.2,53.6,246.0,1973.0,833.0,793.0,226.0,330.0,83.0,30.0
"Clayton County, Georgia",13,063,44106.0,32.4,30.5,34.1,3481.0,48527.0,7254.0,30549.0,13450.0,21663.0,1569.0,1002.0
"Fulton County, Georgia",13,121,61336.0,35.2,34.1,36.1,5019.0,108087.0,15734.0,91667.0,40534.0,201680.0,25993.0,12681.0
"Hall County, Georgia",13,139,55622.0,36.0,35.1,37.3,3362.0,27473.0,6868.0,16999.0,8249.0,18303.0,2416.0,1173.0
"Lumpkin County, Georgia",13,187,43039.0,37.3,36.4,38.0,386.0,4374.0,1353.0,2930.0,1279.0,2977.0,373.0,236.0
"McDuffie County, Georgia",13,189,40469.0,37.8,36.8,38.5,192.0,4533.0,1057.0,2005.0,1039.0,1363.0,285.0,53.0
"Miller County, Georgia",13,201,37255.0,43.1,39.9,44.5,55.0,1434.0,164.0,716.0,361.0,313.0,15.0,14.0
"Morgan County, Georgia",13,211,59572.0,44.2,45.5,43.4,80.0,3648.0,645.0,2063.0,1020.0,1671.0,317.0,35.0
"Heard County, Georgia",13,149,44897.0,41.9,40.6,43.0,81.0,2719.0,835.0,1102.0,478.0,488.0,89.0,44.0
"Oconee County, Georgia",13,219,77388.0,40.1,38.9,40.9,85.0,4294.0,634.0,2748.0,1738.0,5398.0,1131.0,1336.0
"Dougherty County, Georgia",13,095,34541.0,35.0,33.3,36.8,940.0,13543.0,3341.0,11202.0,4388.0,6848.0,1322.0,692.0
"Fannin County, Georgia",13,111,43344.0,50.8,50.4,50.9,78.0,5786.0,1237.0,2648.0,1403.0,2216.0,402.0,151.0
"Henry County, Georgia",13,151,64752.0,36.7,35.1,37.8,1844.0,35832.0,6180.0,22567.0,12181.0,24882.0,2353.0,1220.0
"Houston County, Georgia",13,153,55965.0,35.1,33.6,36.3,982.0,23135.0,5086.0,18898.0,9911.0,15147.0,1385.0,606.0
"Laurens County, Georgia",13,175,35202.0,38.3,37.1,39.3,506.0,11995.0,2005.0,3677.0,2491.0,2645.0,534.0,193.0
"Long County, Georgia",13,183,53083.0,31.6,31.2,31.7,88.0,2835.0,512.0,2398.0,978.0,1093.0,14.0,62.0
"Spalding County, Georgia",13,255,42398.0,38.9,38.0,40.5,704.0,13202.0,3277.0,5782.0,2907.0,4527.0,524.0,489.0
"Stephens County, Georgia",13,257,39756.0,42.3,42.3,42.3,283.0,4909.0,1293.0,2289.0,1208.0,1824.0,513.0,60.0
"Telfair County, Georgia",13,271,28044.0,41.0,39.3,43.7,201.0,4642.0,1194.0,871.0,638.0,513.0,86.0,46.0
"Union County, Georgia",13,291,42767.0,53.8,52.1,55.2,90.0,5071.0,945.0,2376.0,1576.0,2091.0,224.0,131.0
"Upson County, Georgia",13,293,35375.0,41.5,39.3,43.3,245.0,5112.0,1545.0,2603.0,1586.0,1425.0,202.0,84.0
"Washington County, Georgia",13,303,38097.0,40.3,38.2,42.6,260.0,4477.0,1404.0,1657.0,785.0,1244.0,76.0,13.0
"White County, Georgia",13,311,43944.0,45.1,43.7,46.9,113.0,4923.0,1445.0,3302.0,1853.0,2396.0,297.0,154.0
"Peach County, Georgia",13,225,43645.0,35.8,35.0,37.7,286.0,4221.0,1076.0,3659.0,1330.0,2049.0,172.0,152.0
"Paulding County, Georgia",13,223,63669.0,35.6,34.7,36.6,946.0,26483.0,5584.0,16993.0,8403.0,15601.0,1547.0,613.0
"Pierce County, Georgia",13,229,39863.0,39.4,38.4,41.7,179.0,4326.0,882.0,1719.0,1093.0,851.0,170.0,151.0
"Pike County, Georgia",13,231,52377.0,40.5,39.3,41.2,95.0,4079.0,910.0,2207.0,802.0,1346.0,163.0,116.0
"Richmond County, Georgia",13,245,39430.0,33.7,31.8,36.3,1595.0,33642.0,6589.0,22059.0,10578.0,16928.0,2560.0,1590.0
"Screven County, Georgia",13,251,36556.0,41.2,39.5,43.6,83.0,3281.0,669.0,1588.0,550.0,919.0,100.0,47.0
"Tattnall County, Georgia",13,267,36355.0,36.9,34.8,40.8,228.0,4866.0,2065.0,1947.0,1043.0,1310.0,199.0,34.0
"Berrien County, Georgia",13,019,38297.0,39.5,38.5,40.5,153.0,4489.0,848.0,1700.0,1225.0,943.0,113.0,34.0
"Walker County, Georgia",13,295,43581.0,41.4,39.2,43.5,626.0,12329.0,5481.0,7226.0,3682.0,4981.0,413.0,306.0
"Gwinnett County, Georgia",13,135,64496.0,34.9,33.9,36.0,10100.0,113531.0,16789.0,83184.0,52070.0,131038.0,9748.0,7616.0
"Barrow County, Georgia",13,013,56119.0,35.1,34.2,36.2,1135.0,12929.0,3722.0,6751.0,4210.0,5756.0,493.0,251.0
"Charlton County, Georgia",13,049,43257.0,41.4,41.6,40.0,94.0,3014.0,795.0,1221.0,718.0,250.0,105.0,131.0
"Clinch County, Georgia",13,065,21838.0,37.6,35.6,38.7,71.0,1289.0,241.0,706.0,262.0,335.0,22.0,10.0
"Bartow County, Georgia",13,015,52393.0,37.5,36.8,38.0,1034.0,18407.0,5057.0,10633.0,4874.0,8715.0,918.0,283.0
"Douglas County, Georgia",13,097,59333.0,36.3,34.8,37.7,989.0,23861.0,4489.0,14260.0,6916.0,14692.0,1586.0,645.0
"Grady County, Georgia",13,131,39462.0,39.7,37.2,41.9,541.0,5217.0,894.0,2058.0,1584.0,1418.0,131.0,62.0
"Jeff Davis County, Georgia",13,161,37267.0,36.3,35.8,36.8,192.0,2581.0,961.0,1612.0,767.0,579.0,181.0,31.0
"Montgomery County, Georgia",13,209,40308.0,39.4,38.2,41.9,107.0,1853.0,430.0,961.0,390.0,525.0,62.0,57.0
"Oglethorpe County, Georgia",13,221,43938.0,42.5,42.1,43.9,303.0,3085.0,682.0,1400.0,798.0,999.0,95.0,72.0
"Randolph County, Georgia",13,243,30640.0,44.3,40.1,46.3,142.0,1550.0,197.0,843.0,219.0,344.0,30.0,78.0
"Rockdale County, Georgia",13,247,54175.0,37.3,35.8,38.9,849.0,16682.0,1929.0,8403.0,4958.0,9998.0,656.0,620.0
"Ware County, Georgia",13,299,36962.0,38.9,37.1,41.0,213.0,7664.0,2347.0,3295.0,1769.0,1912.0,379.0,165.0
"Wayne County, Georgia",13,305,41534.0,38.2,37.2,39.3,541.0,5781.0,2225.0,2451.0,1783.0,1504.0,242.0,124.0
"Wheeler County, Georgia",13,309,28490.0,38.2,36.1,44.6,8.0,2142.0,557.0,572.0,345.0,381.0,16.0,0.0
"Wilcox County, Georgia",13,315,35457.0,39.4,38.4,43.2,92.0,2338.0,845.0,754.0,330.0,390.0,48.0,35.0
"Baldwin County, Georgia",13,009,37008.0,35.1,35.3,34.5,453.0,8578.0,1628.0,3862.0,2082.0,3013.0,325.0,450.0
"Banks County, Georgia",13,011,42182.0,40.3,40.2,40.6,229.0,4061.0,1212.0,1429.0,750.0,923.0,119.0,58.0
"Bulloch County, Georgia",13,031,39305.0,28.1,26.5,29.6,350.0,9199.0,1829.0,7059.0,3343.0,6282.0,678.0,1100.0
"Clarke County, Georgia",13,059,34557.0,27.3,26.8,27.8,1069.0,11871.0,2540.0,9206.0,4489.0,14124.0,1770.0,3890.0
"Hawaii County, Hawaii",15,001,56395.0,42.1,41.4,42.7,499.0,40177.0,2851.0,23658.0,13798.0,26418.0,2450.0,2062.0
"Honolulu County, Hawaii",15,003,80078.0,37.6,35.7,39.5,8802.0,163231.0,14714.0,102470.0,71071.0,152164.0,16913.0,10442.0
"Maui County, Hawaii",15,009,72762.0,40.9,40.3,41.5,778.0,33074.0,3396.0,20660.0,11768.0,20711.0,2236.0,1258.0
"Kauai County, Hawaii",15,007,72330.0,42.1,40.9,43.4,366.0,14513.0,1186.0,7793.0,6243.0,9793.0,724.0,630.0
"Kalawao County, Hawaii",15,005,61750.0,57.6,55.3,58.9,0.0,16.0,4.0,10.0,16.0,11.0,0.0,2.0
"Oneida County, Idaho",16,071,43491.0,39.5,39.9,39.1,23.0,816.0,147.0,550.0,191.0,300.0,3.0,28.0
"Cassia County, Idaho",16,031,48162.0,31.8,31.0,33.2,305.0,3256.0,763.0,2441.0,1182.0,1786.0,161.0,68.0
"Gem County, Idaho",16,045,42888.0,45.2,43.1,46.0,92.0,3710.0,869.0,1623.0,1162.0,1355.0,100.0,63.0
"Lincoln County, Idaho",16,063,46383.0,33.1,33.0,33.5,34.0,1071.0,87.0,586.0,254.0,222.0,8.0,4.0
"Valley County, Idaho",16,085,54015.0,50.2,47.9,51.8,32.0,1355.0,460.0,2075.0,458.0,1705.0,35.0,79.0
"Adams County, Idaho",16,003,42727.0,52.8,53.7,51.6,0.0,950.0,182.0,542.0,195.0,359.0,40.0,9.0
"Franklin County, Idaho",16,041,51583.0,32.6,31.4,33.8,45.0,2271.0,249.0,1276.0,724.0,1085.0,68.0,95.0
"Nez Perce County, Idaho",16,069,51804.0,41.3,39.4,43.1,163.0,7344.0,1356.0,5431.0,2538.0,4538.0,331.0,202.0
"Jerome County, Idaho",16,053,46421.0,32.6,32.7,32.4,357.0,3855.0,632.0,2022.0,971.0,1299.0,131.0,76.0
"Kootenai County, Idaho",16,055,53189.0,39.7,38.3,40.9,403.0,23160.0,4785.0,21599.0,11317.0,17039.0,1511.0,755.0
"Lewis County, Idaho",16,061,40313.0,48.1,46.9,48.7,7.0,735.0,152.0,633.0,240.0,329.0,3.0,4.0
"Minidoka County, Idaho",16,067,48021.0,35.4,35.1,36.0,332.0,3188.0,545.0,2226.0,1181.0,1272.0,66.0,24.0
"Twin Falls County, Idaho",16,083,49118.0,34.6,33.9,35.2,591.0,12072.0,2818.0,10245.0,6459.0,6656.0,728.0,382.0
"Owyhee County, Idaho",16,073,36092.0,38.6,39.2,38.0,97.0,2189.0,370.0,1042.0,643.0,555.0,14.0,13.0
"Blaine County, Idaho",16,013,58835.0,42.8,42.1,43.8,69.0,2916.0,337.0,2263.0,1063.0,4166.0,307.0,313.0
"Boise County, Idaho",16,015,49964.0,53.2,53.8,52.1,9.0,1252.0,265.0,831.0,597.0,1026.0,65.0,89.0
"Boundary County, Idaho",16,021,39512.0,43.7,43.9,43.4,38.0,2501.0,425.0,1320.0,685.0,1029.0,128.0,32.0
"Butte County, Idaho",16,023,43207.0,46.4,48.2,42.9,0.0,609.0,81.0,352.0,177.0,227.0,7.0,5.0
"Caribou County, Idaho",16,029,58750.0,36.9,36.2,37.4,14.0,1329.0,225.0,806.0,436.0,675.0,22.0,83.0
"Gooding County, Idaho",16,047,42626.0,37.3,37.1,37.9,303.0,2949.0,395.0,1577.0,643.0,984.0,80.0,70.0
