Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
"Garfield County, Colorado",08,045,66503.0,36.2,35.9,36.5,366.0,9269.0,1639.0,4764.0,3406.0,7509.0,719.0,364.0
"Gunnison County, Colorado",08,051,52651.0,34.5,34.5,34.9,96.0,1440.0,352.0,1519.0,709.0,4036.0,231.0,152.0
"Jefferson County, Colorado",08,059,75170.0,40.4,39.1,42.0,2214.0,69243.0,14245.0,64683.0,32388.0,109340.0,9203.0,7011.0
"Mineral County, Colorado",08,079,50385.0,58.5,56.6,60.6,0.0,121.0,13.0,191.0,60.0,177.0,16.0,19.0
"Ouray County, Colorado",08,091,61333.0,53.7,54.3,53.0,6.0,550.0,101.0,691.0,313.0,1092.0,126.0,102.0
"Rio Blanco County, Colorado",08,103,57991.0,35.9,35.9,35.9,16.0,1244.0,146.0,781.0,492.0,576.0,20.0,37.0
"Sedgwick County, Colorado",08,115,49583.0,48.4,45.9,49.6,28.0,393.0,104.0,268.0,217.0,223.0,10.0,10.0
"Weld County, Colorado",08,123,66489.0,34.2,33.7,34.7,2764.0,41064.0,8550.0,29709.0,16636.0,33853.0,1918.0,1667.0
"New Haven County, Connecticut",09,009,64872.0,40.1,38.4,41.6,5981.0,162447.0,20162.0,72229.0,43845.0,111795.0,17317.0,12706.0
"Litchfield County, Connecticut",09,005,76438.0,46.9,45.6,47.8,922.0,34642.0,4695.0,16983.0,12717.0,27496.0,2795.0,1747.0
"Hartford County, Connecticut",09,003,69936.0,40.4,38.4,42.2,7525.0,146945.0,22095.0,72633.0,49406.0,132166.0,18361.0,8559.0
"Windham County, Connecticut",09,015,62553.0,41.0,39.7,42.1,819.0,21872.0,4574.0,11147.0,7727.0,11950.0,902.0,853.0
"New London County, Connecticut",09,011,69411.0,41.0,38.9,43.2,1647.0,49230.0,7531.0,25834.0,16030.0,34115.0,3979.0,3011.0
"Middlesex County, Connecticut",09,007,81673.0,45.1,43.7,46.5,843.0,29034.0,3328.0,13214.0,10904.0,27082.0,3308.0,2287.0
