Alabama,40271.4
Alaska,66425.45
Arizona,45816.67
Arkansas,39025.08
California,61046.76
Colorado,54353.56
Connecticut,74496.0
Delaware,61294.67
District of Columbia,77649.0
Florida,47144.33
Georgia,43268.79
Hawaii,68663.0
Idaho,46171.93
Illinois,52930.38
Indiana,51877.4
Iowa,53436.08
Kansas,50022.57
Kentucky,41470.49
Louisiana,42654.08
Maine,49680.81
Maryland,72541.17
Massachusetts,71030.71
Michigan,47530.52
Minnesota,57530.0
Mississippi,37018.72
Missouri,44435.3
Montana,47746.75
Nebraska,51928.35
Nevada,56859.0
New Hampshire,64901.9
New Jersey,77047.76
New Mexico,41197.21
New York,58309.26
North Carolina,44551.67
North Dakota,59795.96
Ohio,51742.2
Oklahoma,46219.86
Oregon,48502.5
Pennsylvania,53281.88
Puerto Rico,18412.95
Rhode Island,69906.4
South Carolina,42126.78
South Dakota,50408.74
Tennessee,43016.61
Texas,49894.34
Utah,59208.76
Vermont,55252.71
Virginia,56270.04
Washington,54112.46
West Virginia,41701.91
Wisconsin,53849.42
Wyoming,59065.22
