State Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
Nevada,544,774,966603.0,731.3,723.6999999999999,743.4999999999999,1936453.0,253013.0,32426.0,232502.0,19019.0,279977.0,30781.0,476520.0,80331.0,360710.0,159428.0,306611.0,30932.0,17143.0
New Hampshire,330,100,649019.0,442.0,430.5,453.0,1244260.0,18632.0,2148.0,33313.0,289.0,7016.0,5158.0,223845.0,39046.0,118909.0,94088.0,209224.0,18073.0,13370.0
New Jersey,714,441,1618003.0,856.5999999999999,824.8999999999999,887.0,6085474.0,1207356.0,18006.0,844105.0,3013.0,573146.0,81641.0,1564815.0,157782.0,717690.0,400424.0,1439971.0,154079.0,94816.0
New Mexico,1155,995,1359508.0,1373.1000000000004,1335.5000000000002,1408.5999999999997,1547843.0,42187.0,197191.0,29991.0,1390.0,197944.0,18090.0,300829.0,64185.0,241184.0,112855.0,208790.0,22601.0,24839.0
New York,2232,3844,3615174.0,2558.5,2469.6,2646.1,12638791.0,3100685.0,77130.0,1652846.0,7937.0,1730813.0,268719.0,3061197.0,530090.0,1538663.0,1184118.0,2718987.0,381597.0,204211.0
North Carolina,3700,10000,4455167.0,4218.900000000001,4051.2000000000003,4385.299999999998,6937466.0,2159427.0,117998.0,269164.0,6393.0,310920.0,83671.0,1476541.0,295201.0,1036370.0,627997.0,1303604.0,110809.0,90608.0
North Dakota,2014,2809,3169186.0,2287.000000000001,2227.2000000000003,2338.4,654024.0,17365.0,39507.0,10197.0,341.0,6600.0,2796.0,113490.0,18163.0,80042.0,65775.0,102497.0,6583.0,5115.0
Ohio,3432,7744,4553314.0,3588.400000000002,3477.6,3699.700000000001,9503779.0,1428230.0,21872.0,235878.0,3499.0,103726.0,67808.0,2342883.0,303725.0,1078053.0,672658.0,1341204.0,129078.0,87319.0
Oklahoma,3080,5929,3558929.0,3026.6999999999994,2935.6,3126.1000000000004,2828569.0,283821.0,289871.0,80670.0,5543.0,105686.0,25161.0,676024.0,127731.0,416521.0,193857.0,422888.0,34617.0,24864.0
Oregon,1476,1296,1746090.0,1575.6,1537.1999999999998,1611.3,3416776.0,76347.0,45332.0,166351.0,15157.0,121000.0,30325.0,529960.0,125961.0,493473.0,242247.0,561492.0,59677.0,43738.0
Pennsylvania,2814,4489,3569886.0,2876.3999999999987,2775.4000000000005,2997.9999999999995,10378174.0,1417611.0,24995.0,417525.0,3665.0,251215.0,88660.0,2811564.0,350222.0,944806.0,724522.0,1621733.0,171742.0,127226.0
Puerto Rico,5616,5983,1436210.0,3113.7000000000003,2986.6,3230.5000000000005,2389446.0,338939.0,10849.0,7789.0,136.0,511785.0,62694.0,596851.0,62514.0,257744.0,233946.0,426310.0,29241.0,24653.0
Rhode Island,220,25,349532.0,213.8,204.5,222.2,854801.0,68346.0,5413.0,35556.0,759.0,59967.0,10845.0,170239.0,33116.0,92439.0,60883.0,144515.0,15471.0,13092.0
South Carolina,2070,2116,1937832.0,1881.0000000000002,1797.1,1973.3000000000002,3292598.0,1332110.0,14992.0,71994.0,3015.0,74328.0,37167.0,831292.0,147229.0,492571.0,309163.0,571099.0,48967.0,36461.0
South Dakota,3036,4485,3326977.0,2674.4999999999995,2602.4000000000005,2755.1000000000004,724430.0,14698.0,74062.0,11693.0,381.0,6687.0,3592.0,146574.0,24338.0,85929.0,63413.0,109468.0,8192.0,6190.0
Tennessee,4465,9025,4086578.0,3975.9999999999977,3842.9,4111.199999999999,5131786.0,1107392.0,17568.0,110605.0,3784.0,88745.0,49807.0,1189457.0,271907.0,650903.0,312442.0,738613.0,73194.0,53863.0
Texas,12192,64516,12673162.0,9910.899999999996,9569.399999999998,10283.499999999993,20459525.0,3286950.0,130360.0,1236852.0,23531.0,1580393.0,343605.0,3589196.0,783234.0,2771789.0,1208509.0,3288777.0,274956.0,191047.0
Utah,1421,841,1717054.0,993.0,975.7,1011.3999999999999,2600077.0,33619.0,32079.0,67545.0,26742.0,150596.0,14327.0,347735.0,50077.0,327785.0,168267.0,375297.0,30298.0,24698.0
Vermont,700,196,773538.0,624.0,608.5,638.3000000000001,590499.0,7921.0,2072.0,9680.0,206.0,2197.0,2523.0,113798.0,15713.0,53103.0,37351.0,95590.0,11257.0,8049.0
Virginia,6783,35111,7483915.0,5553.3,5366.499999999998,5752.699999999997,5720209.0,1605447.0,22499.0,520119.0,5469.0,200265.0,69531.0,1154017.0,224721.0,775944.0,427037.0,1220919.0,139950.0,102313.0
Washington,2067,1521,2110386.0,1631.8000000000002,1595.7000000000003,1670.9,5500837.0,261743.0,94754.0,578822.0,46071.0,293007.0,55780.0,910215.0,191689.0,806418.0,483549.0,1064440.0,104838.0,73660.0
West Virginia,2970,3025,2293605.0,2404.5999999999995,2346.2999999999993,2467.2,1714591.0,65300.0,3322.0,14096.0,541.0,7193.0,10439.0,438270.0,86440.0,162971.0,89742.0,155423.0,16296.0,11105.0
Wisconsin,3960,5119,3877158.0,3111.600000000001,3041.9999999999995,3182.7999999999993,4950577.0,365884.0,50094.0,152325.0,1811.0,111435.0,33447.0,1083233.0,139558.0,551268.0,411875.0,748413.0,64212.0,43737.0
Wyoming,1288,529,1358500.0,915.4000000000002,903.0000000000001,932.5999999999999,532394.0,6121.0,13549.0,5102.0,470.0,10247.0,1346.0,91775.0,19819.0,70781.0,42219.0,67798.0,5410.0,4693.0
