Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
"Corozal Municipio, Puerto Rico",72,047,14752.0,38.1,36.9,39.3,28500.0,2097.0,0.0,0.0,0.0,2916.0,698.0,6371.0,262.0,2972.0,1837.0,3142.0,0.0,92.0
"Maunabo Municipio, Puerto Rico",72,095,17636.0,43.5,42.9,44.0,3795.0,7042.0,10.0,0.0,0.0,317.0,320.0,1874.0,161.0,935.0,690.0,1156.0,0.0,13.0
"Peñuelas Municipio, Puerto Rico",72,111,16868.0,36.4,35.7,37.1,16967.0,755.0,29.0,35.0,0.0,3643.0,376.0,3991.0,297.0,1095.0,1712.0,2415.0,99.0,125.0
"Ponce Municipio, Puerto Rico",72,113,16561.0,39.5,36.5,42.1,117164.0,7493.0,211.0,148.0,0.0,9801.0,2557.0,28670.0,1974.0,10273.0,8357.0,19156.0,1179.0,1714.0
"San Sebastián Municipio, Puerto Rico",72,131,14275.0,42.0,40.2,43.8,28075.0,996.0,0.0,97.0,0.0,9202.0,1251.0,6274.0,555.0,3116.0,2301.0,4135.0,116.0,71.0
"Toa Alta Municipio, Puerto Rico",72,135,29672.0,37.1,35.9,38.3,57375.0,5412.0,291.0,296.0,6.0,4181.0,971.0,11708.0,900.0,6223.0,5036.0,11794.0,545.0,404.0
"Toa Baja Municipio, Puerto Rico",72,137,24583.0,38.9,37.3,40.9,47902.0,7712.0,116.0,9.0,7.0,8509.0,1375.0,14218.0,1491.0,8090.0,5819.0,10258.0,545.0,339.0
"Vieques Municipio, Puerto Rico",72,147,16261.0,41.4,35.6,44.1,4812.0,812.0,12.0,162.0,0.0,3028.0,126.0,2111.0,59.0,461.0,564.0,985.0,18.0,218.0
"Yabucoa Municipio, Puerto Rico",72,151,15586.0,41.6,39.5,42.9,14950.0,17751.0,89.0,11.0,0.0,1928.0,806.0,5125.0,885.0,3210.0,2870.0,3275.0,19.0,59.0
"Aguada Municipio, Puerto Rico",72,003,16199.0,41.0,39.9,42.1,26408.0,1092.0,0.0,0.0,0.0,1590.0,871.0,5454.0,906.0,2501.0,3662.0,3718.0,174.0,332.0
"Caguas Municipio, Puerto Rico",72,025,24229.0,39.7,37.5,41.7,102063.0,11049.0,320.0,457.0,0.0,16667.0,2009.0,21490.0,3471.0,10448.0,9693.0,19608.0,888.0,1506.0
"Canóvanas Municipio, Puerto Rico",72,029,19986.0,39.0,36.8,40.2,23494.0,5446.0,0.0,116.0,0.0,17444.0,1072.0,8325.0,1650.0,2645.0,3260.0,4948.0,111.0,130.0
"Cidra Municipio, Puerto Rico",72,041,20389.0,38.7,37.9,40.0,34510.0,3068.0,117.0,72.0,0.0,2855.0,816.0,7407.0,1263.0,3143.0,2629.0,4571.0,242.0,153.0
"Coamo Municipio, Puerto Rico",72,043,19110.0,39.4,38.2,41.0,26183.0,8496.0,0.0,0.0,0.0,4888.0,836.0,9315.0,281.0,2974.0,2054.0,4183.0,37.0,258.0
"Dorado Municipio, Puerto Rico",72,051,29354.0,39.5,37.9,40.6,29639.0,4833.0,0.0,47.0,0.0,1085.0,480.0,6191.0,407.0,2622.0,2291.0,5752.0,403.0,328.0
"Luquillo Municipio, Puerto Rico",72,089,19377.0,39.8,39.4,40.8,11385.0,1705.0,24.0,61.0,0.0,5422.0,235.0,3700.0,547.0,1449.0,1276.0,1866.0,42.0,47.0
"Barranquitas Municipio, Puerto Rico",72,019,15694.0,35.5,33.5,37.5,25681.0,1264.0,0.0,0.0,0.0,1285.0,627.0,5825.0,435.0,1973.0,1292.0,2424.0,10.0,25.0
"Orocovis Municipio, Puerto Rico",72,107,14296.0,37.9,36.7,39.0,18754.0,598.0,0.0,0.0,0.0,2193.0,703.0,4423.0,493.0,1031.0,870.0,1879.0,8.0,2.0
"San Lorenzo Municipio, Puerto Rico",72,129,18589.0,40.2,38.9,41.8,33650.0,2642.0,43.0,22.0,0.0,571.0,848.0,6393.0,647.0,3340.0,2801.0,4133.0,128.0,23.0
