State Name,Household Income,Median Age,Median Male Age,Median Female Age,No College Degree,Associates or Bachelors Degree,Post Graduate Degree,Total,No College Degree Percentage,Associates or Bachelors Degree Percentage,Post Graduate Degree Percentage,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other,Total Ethnicity,White Percentage,Black or African American Percentage,American Indian and Alaska Native Percentage,Asian Percentage,Native Hawaiian and Other Pacific Islander Percentage,Other Percentage
Alabama,40271.4,40.45,38.87,41.98,1567420.0,771175.0,83647.0,2422242.0,0.647094716382591,0.31837240044553766,0.03453288317187135,3317702.0,1287167.0,25098.0,62815.0,2213.0,66942.0,4761937.0,0.696712703254999,0.2703032400470649,0.005270544318414964,0.013191060696519085,0.0004647268537991998,0.014057724829202907
Alaska,66425.45,36.94,37.6,36.16,229333.0,128518.0,13743.0,371594.0,0.617160126374484,0.3458559610757978,0.036983912549718244,481971.0,23702.0,104995.0,45604.0,9075.0,10505.0,675852.0,0.7131309813391098,0.0350698081828566,0.15535205932659812,0.06747631138178181,0.013427495960654108,0.015543343808999603
Arizona,45816.67,39.93,38.91,41.13,1960152.0,1189412.0,134913.0,3284477.0,0.5967927313846314,0.3621313225819514,0.041075946033417195,5277661.0,292831.0,300182.0,213417.0,13364.0,474583.0,6572038.0,0.8030478521274527,0.044557106943082195,0.04567563364667094,0.032473488436920175,0.002033463592267726,0.07221245525360627
Arkansas,39025.08,41.33,39.95,42.68,1017698.0,412898.0,45657.0,1476253.0,0.6893791240390367,0.2796932504116842,0.030927625549279154,2302141.0,459969.0,19476.0,42368.0,7062.0,75106.0,2906122.0,0.792169427161007,0.1582758741718345,0.00670171451852331,0.014578878656849231,0.0024300425102593767,0.025844062981526583
California,61046.76,39.47,38.45,40.81,10129401.0,7313928.0,1026371.0,18469700.0,0.5484334342192889,0.39599603675208583,0.05557052902862526,23607242.0,2263222.0,292018.0,5503672.0,152027.0,5329952.0,37148133.0,0.6354893259373223,0.06092424617947825,0.007860906495623885,0.14815474037416632,0.00409245331387179,0.14347832769953742
Colorado,54353.56,42.28,41.17,43.68,1397665.0,1216872.0,144685.0,2759222.0,0.5065431487571497,0.4410199686723286,0.05243688257052169,4576201.0,221155.0,51406.0,164771.0,8580.0,225497.0,5247610.0,0.8720543256835016,0.04214394743511808,0.009796078595779793,0.031399246514127385,0.0016350300422478042,0.042971371729225306
Connecticut,74496.0,41.58,39.93,43.08,991175.0,720536.0,115081.0,1826792.0,0.5425768231960727,0.3944269517273997,0.06299622507652759,2757064.0,376240.0,9385.0,156450.0,931.0,183754.0,3483824.0,0.7913901505931413,0.1079962707645392,0.002693878910071232,0.04490754986474633,0.0002672350842063204,0.0527449147832956
Delaware,61294.67,41.13,39.57,42.63,297058.0,168506.0,23649.0,489213.0,0.6072160797035239,0.3444430135748641,0.04834090672161206,652170.0,206290.0,3482.0,36553.0,465.0,18512.0,917472.0,0.7108336821178194,0.22484609884552334,0.003795211189006313,0.03984099787241464,0.0005068274563147431,0.020177182518921557
District of Columbia,77649.0,33.9,33.8,34.1,134739.0,128431.0,60195.0,323365.0,0.4166777480556028,0.3971703802204939,0.18615187172390332,273471.0,321062.0,1757.0,25558.0,289.0,30961.0,653098.0,0.41872888907943373,0.49159850435922325,0.0026902547550291074,0.03913348379569376,0.0004425063313622152,0.047406361679257936
Florida,47144.33,43.3,41.65,45.1,6401511.0,4021452.0,457567.0,10880530.0,0.5883455125807291,0.3696007455519171,0.04205374186735389,15343997.0,3270863.0,56730.0,543394.0,12342.0,536298.0,19763624.0,0.7763756788734698,0.1654991513702143,0.002870424978738717,0.027494653814502848,0.0006244806114506125,0.027135610351623773
